#x;y;rot;heading;speed;rrot;x';y';heading'
3.344;132.924;3.990;4.389;1;20;3.420;133.921;4.455
3.420;133.921;4.020;4.455;1;20;3.498;134.918;4.522
3.498;134.918;4.050;4.522;1;20;3.577;135.915;4.590
3.577;135.915;4.080;4.590;1;20;3.657;136.911;4.658
3.657;136.911;4.110;4.658;1;20;3.738;137.908;4.726
3.738;137.908;4.140;4.726;1;20;3.820;138.905;4.795
3.820;138.905;4.170;4.795;1;20;3.904;139.901;4.865
3.904;139.901;4.200;4.865;1;20;3.989;140.898;4.935
3.989;140.898;4.230;4.935;1;20;4.075;141.894;5.005
4.075;141.894;4.260;5.005;1;20;4.162;142.890;5.076
4.162;142.890;4.290;5.076;1;20;4.250;143.886;5.148
4.250;143.886;4.320;5.148;1;20;4.340;144.882;5.220
4.340;144.882;4.350;5.220;1;20;4.431;145.878;5.292
4.431;145.878;4.380;5.292;1;20;4.523;146.874;5.365
4.523;146.874;4.410;5.365;1;20;4.617;147.869;5.439
4.617;147.869;4.440;5.439;1;20;4.712;148.865;5.513
4.712;148.865;4.470;5.513;1;20;4.808;149.860;5.587
4.808;149.860;4.500;5.587;1;20;4.905;150.856;5.662
4.905;150.856;4.530;5.662;1;20;5.004;151.851;5.738
5.004;151.851;4.560;5.738;1;20;5.104;152.846;5.814
5.104;152.846;4.590;5.814;1;20;5.205;153.840;5.890
5.205;153.840;4.620;5.890;1;20;5.308;154.835;5.967
5.308;154.835;4.650;5.967;1;20;5.412;155.830;6.045
5.412;155.830;4.680;6.045;1;20;5.517;156.824;6.123
5.517;156.824;4.710;6.123;1;20;5.624;157.819;6.201
5.624;157.819;4.740;6.201;1;20;5.732;158.813;6.280
5.732;158.813;4.770;6.280;1;20;5.841;159.807;6.360
5.841;159.807;4.800;6.360;1;20;5.952;160.800;6.440
5.952;160.800;4.830;6.440;1;20;6.064;161.794;6.520
6.064;161.794;4.860;6.520;1;20;6.178;162.788;6.601
6.178;162.788;4.890;6.601;1;20;6.293;163.781;6.683
6.293;163.781;4.920;6.683;1;20;6.409;164.774;6.765
6.409;164.774;4.950;6.765;1;20;6.527;165.767;6.847
6.527;165.767;4.980;6.847;1;20;6.646;166.760;6.930
6.646;166.760;5.010;6.930;1;20;6.767;167.753;7.014
6.767;167.753;5.040;7.014;1;20;6.889;168.745;7.098
6.889;168.745;5.070;7.098;1;20;7.012;169.738;7.182
7.012;169.738;5.100;7.182;1;20;7.137;170.730;7.267
7.137;170.730;5.130;7.267;1;20;7.264;171.722;7.353
7.264;171.722;5.160;7.353;1;20;7.392;172.714;7.439
7.392;172.714;5.190;7.439;1;20;7.521;173.705;7.525
7.521;173.705;5.220;7.525;1;20;7.652;174.697;7.612
7.652;174.697;5.250;7.612;1;20;7.785;175.688;7.700
7.785;175.688;5.280;7.700;1;20;7.919;176.679;7.788
7.919;176.679;5.310;7.788;1;20;8.054;177.670;7.876
8.054;177.670;5.340;7.876;1;20;8.191;178.660;7.965
8.191;178.660;5.370;7.965;1;20;8.330;179.650;8.055
8.330;179.650;5.400;8.055;1;20;8.470;180.641;8.145
8.470;180.641;5.430;8.145;1;20;8.612;181.631;8.235
8.612;181.631;5.460;8.235;1;20;8.755;182.620;8.326
8.755;182.620;5.490;8.326;1;20;8.900;183.610;8.418
8.900;183.610;5.520;8.418;1;20;9.046;184.599;8.510
9.046;184.599;5.550;8.510;1;20;9.194;185.588;8.602
9.194;185.588;5.580;8.602;1;20;9.344;186.577;8.695
9.344;186.577;5.610;8.695;1;20;9.495;187.565;8.789
9.495;187.565;5.640;8.789;1;20;9.648;188.553;8.883
9.648;188.553;5.670;8.883;1;20;9.802;189.541;8.977
9.802;189.541;5.700;8.977;1;20;9.958;190.529;9.072
9.958;190.529;5.730;9.072;1;20;10.116;191.517;9.168
10.116;191.517;5.760;9.168;1;20;10.275;192.504;9.264
10.275;192.504;5.790;9.264;1;20;10.436;193.491;9.360
10.436;193.491;5.820;9.360;1;20;10.599;194.478;9.457
10.599;194.478;5.850;9.457;1;20;10.763;195.464;9.555
10.763;195.464;5.880;9.555;1;20;10.929;196.450;9.653
10.929;196.450;5.910;9.653;1;20;11.097;197.436;9.751
11.097;197.436;5.940;9.751;1;20;11.266;198.421;9.850
11.266;198.421;5.970;9.850;1;20;11.437;199.407;9.950
11.437;199.407;6.000;9.950;1;20;11.610;200.392;10.050
11.610;200.392;6.030;10.050;1;20;11.784;201.376;10.150
11.784;201.376;6.060;10.150;1;20;11.961;202.361;10.251
11.961;202.361;6.090;10.251;1;20;12.139;203.345;10.353
12.139;203.345;6.120;10.353;1;20;12.318;204.328;10.455
12.318;204.328;6.150;10.455;1;20;12.500;205.312;10.557
12.500;205.312;6.180;10.557;1;20;12.683;206.295;10.660
12.683;206.295;6.210;10.660;1;20;12.868;207.278;10.764
12.868;207.278;6.240;10.764;1;20;13.055;208.260;10.868
13.055;208.260;6.270;10.868;1;20;13.243;209.242;10.972
13.243;209.242;6.300;10.972;1;20;13.434;210.224;11.077
13.434;210.224;6.330;11.077;1;20;13.626;211.205;11.183
13.626;211.205;6.360;11.183;1;20;13.820;212.186;11.289
13.820;212.186;6.390;11.289;1;20;14.016;213.167;11.395
14.016;213.167;6.420;11.395;1;20;14.213;214.147;11.502
14.213;214.147;6.450;11.502;1;20;14.413;215.127;11.610
14.413;215.127;6.480;11.610;1;20;14.614;216.107;11.718
14.614;216.107;6.510;11.718;1;20;14.817;217.086;11.826
14.817;217.086;6.540;11.826;1;20;15.022;218.065;11.935
15.022;218.065;6.570;11.935;1;20;15.229;219.043;12.045
15.229;219.043;6.600;12.045;1;20;15.437;220.021;12.155
15.437;220.021;6.630;12.155;1;20;15.648;220.998;12.265
15.648;220.998;6.660;12.265;1;20;15.860;221.976;12.376
15.860;221.976;6.690;12.376;1;20;16.075;222.952;12.488
16.075;222.952;6.720;12.488;1;20;16.291;223.929;12.600
16.291;223.929;6.750;12.600;1;20;16.509;224.905;12.712
16.509;224.905;6.780;12.712;1;20;16.729;225.880;12.825
16.729;225.880;6.810;12.825;1;20;16.951;226.855;12.939
16.951;226.855;6.840;12.939;1;20;17.175;227.830;13.053
17.175;227.830;6.870;13.053;1;20;17.401;228.804;13.167
17.401;228.804;6.900;13.167;1;20;17.629;229.778;13.282
17.629;229.778;6.930;13.282;1;20;17.858;230.751;13.398
17.858;230.751;6.960;13.398;1;20;18.090;231.724;13.514
18.090;231.724;6.990;13.514;1;20;18.324;232.696;13.630
18.324;232.696;7.020;13.630;1;20;18.559;233.668;13.747
18.559;233.668;7.050;13.747;1;20;18.797;234.639;13.865
18.797;234.639;7.080;13.865;1;20;19.037;235.610;13.983
19.037;235.610;7.110;13.983;1;20;19.278;236.580;14.101
19.278;236.580;7.140;14.101;1;20;19.522;237.550;14.220
19.522;237.550;7.170;14.220;1;20;19.768;238.520;14.340
19.768;238.520;7.200;14.340;1;20;20.015;239.488;14.460
20.015;239.488;7.230;14.460;1;20;20.265;240.457;14.580
20.265;240.457;7.260;14.580;1;20;20.517;241.425;14.701
20.517;241.425;7.290;14.701;1;20;20.771;242.392;14.823
20.771;242.392;7.320;14.823;1;20;21.026;243.359;14.945
21.026;243.359;7.350;14.945;1;20;21.284;244.325;15.068
21.284;244.325;7.380;15.068;1;20;21.544;245.290;15.191
21.544;245.290;7.410;15.191;1;20;21.806;246.255;15.314
21.806;246.255;7.440;15.314;1;20;22.070;247.220;15.438
22.070;247.220;7.470;15.438;1;20;22.337;248.184;15.563
22.337;248.184;7.500;15.563;1;20;22.605;249.147;15.688
22.605;249.147;7.530;15.688;1;20;22.875;250.110;15.813
22.875;250.110;7.560;15.813;1;20;23.148;251.072;15.939
23.148;251.072;7.590;15.939;1;20;23.422;252.034;16.066
23.422;252.034;7.620;16.066;1;20;23.699;252.995;16.193
23.699;252.995;7.650;16.193;1;20;23.978;253.955;16.320
23.978;253.955;7.680;16.320;1;20;24.259;254.915;16.448
